Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration in min,No of Stops,Days,Payment for extra baggage
Air Asia,15/03/2019,Kolkata,Banglore,CCU ? BLR,22:50,3/16/2019 1:20,2h 30m,non-stop,No info,3782,150,0,Sunday,No
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,5/16/2019 9:45,13h 20m,1 stop,In-flight meal not included,12384,800,1,Monday,No
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,3/22/2019 1:35,15h 35m,1 stop,In-flight meal not included,8565,935,1,Tuesday,No
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,5h,1 stop,No info,6232,300,1,Wednesday,No
IndiGo,9/3/2019,Banglore,New Delhi,BLR ? DEL,5:30,8:20,2h 50m,non-stop,No info,4777,170,0,Thursday,No
Air India,1/6/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4145,155,0,Friday,No
Air Asia,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,22:40,5/16/2019 10:40,12h,1 stop,No info,5192,720,1,Saturday,No
Air India,1/4/2019,Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,non-stop,No info,4729,170,0,Sunday,No
IndiGo,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,6:40,21:00,14h 20m,1 stop,No info,6093,860,1,Monday,No
Air India,1/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,9:25,18:30,9h 5m,1 stop,No info,8891,545,1,Tuesday,No
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,3/28/2019 4:25,12h 25m,1 stop,No info,12242,745,1,Wednesday,No
Jet Airways,1/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,5/2/2019 18:00,25h,1 stop,No info,11467,1500,1,Thursday,No
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/22/2019 9:20,12h 10m,1 stop,No info,14781,730,1,Friday,No
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,7:00,19:00,12h,1 stop,No info,10197,720,1,Saturday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,3/7/2019 9:30,12h 5m,1 stop,No info,17261,725,1,Sunday,No
Air India,1/5/2019,Delhi,Cochin,DEL ? MAA ? COK,20:40,5/2/2019 9:25,12h 45m,1 stop,No info,7480,765,1,Monday,No
IndiGo,21/05/2019,Kolkata,Banglore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,4804,155,0,Tuesday,No
SpiceJet,21/04/2019,Kolkata,Banglore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No check-in baggage included,4439,145,0,Wednesday,No
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,6/7/2019 4:25,22h 55m,2 stops,In-flight meal not included,10368,1375,2,Thursday,No
SpiceJet,21/03/2019,Delhi,Cochin,DEL ? MAA ? COK,6:10,11:20,5h 10m,1 stop,No info,6065,310,1,Friday,No
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,5/25/2019 4:40,9h 45m,1 stop,In-flight meal not included,8586,585,1,Saturday,No
IndiGo,18/03/2019,Delhi,Cochin,DEL ? COK,14:30,17:35,3h 5m,non-stop,No info,5406,185,0,Sunday,No
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,6/7/2019 4:25,10h,2 stops,In-flight meal not included,12142,600,2,Monday,No
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,12:35,10h 20m,1 stop,No info,14714,620,1,Tuesday,No
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,6/16/2019 4:25,26h 10m,1 stop,In-flight meal not included,10262,1570,1,Wednesday,No
Air India,6/3/2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,23:55,12h 5m,1 stop,No info,15434,725,1,Thursday,No
Air India,18/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,5/19/2019 11:10,23h 10m,2 stops,No info,10676,1390,2,Friday,No
IndiGo,21/04/2019,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4804,155,0,Saturday,No
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,6/10/2019 12:35,17h 5m,2 stops,No info,13014,1025,2,Sunday,No
IndiGo,3/5/2019,Banglore,Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,3943,170,0,Monday,No
Air India,6/3/2019,Mumbai,Hyderabad,BOM ? COK ? MAA ? HYD,5:30,22:00,16h 30m,2 stops,No info,9678,990,2,Tuesday,No
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,19:50,11h 25m,1 stop,No info,14781,685,1,Wednesday,No
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,19:00,10h,1 stop,No info,10197,600,1,Thursday,No
Air India,9/5/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,5:55,19:15,13h 20m,2 stops,No info,10861,800,2,Friday,No
Jet Airways,1/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/2/2019 4:40,7h 30m,1 stop,In-flight meal not included,10844,450,1,Saturday,No
Air India,21/05/2019,Delhi,Cochin,DEL ? MAA ? COK,17:20,5/22/2019 9:25,16h 5m,1 stop,No info,7480,965,1,Sunday,No
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:10,6/25/2019 1:30,8h 20m,1 stop,No info,5684,500,1,Monday,No
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,6/7/2019 19:00,27h,1 stop,No info,14714,1620,1,Tuesday,No
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,18:00,8h 25m,1 stop,In-flight meal not included,9314,505,1,Wednesday,No
Air India,15/03/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4435,155,0,Thursday,No
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,7:30,19:00,11h 30m,1 stop,No info,11789,690,1,Friday,No
SpiceJet,3/4/2019,Banglore,Delhi,BLR ? DEL,21:10,4/4/2019 0:05,2h 55m,non-stop,No check-in baggage included,3919,175,0,Saturday,No
Jet Airways,6/4/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5198,175,0,Sunday,No
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,non-stop,No check-in baggage included,4273,170,0,Monday,No
Vistara,9/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,5/10/2019 18:50,25h 50m,1 stop,No info,8820,1550,1,Tuesday,No
IndiGo,6/5/2019,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,non-stop,No info,2754,90,0,Wednesday,No
Vistara,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,6/10/2019 23:25,27h 5m,1 stop,No info,8085,1625,1,Thursday,No
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,6/10/2019 21:05,24h 40m,1 stop,In-flight meal not included,10539,1480,1,Friday,No
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,22:05,12h 30m,1 stop,No info,14676,750,1,Saturday,No
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,3/28/2019 4:25,26h 10m,1 stop,In-flight meal not included,6017,1570,1,Sunday,No
Jet Airways,1/4/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,4544,185,0,Monday,No
Trujet,6/3/2019,Mumbai,Hyderabad,BOM ? NDC ? HYD,13:05,16:20,3h 15m,1 stop,No info,4140,195,1,Tuesday,No
Jet Airways,3/5/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,7229,175,0,Wednesday,No
Air India,9/3/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,3/10/2019 19:15,21h 15m,2 stops,No info,16373,1275,2,Thursday,No
Air India,1/5/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,5:50,23:15,17h 25m,2 stops,No info,10991,1045,2,Friday,No
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,5/19/2019 12:00,21h 55m,1 stop,In-flight meal not included,9663,1315,1,Saturday,No
Air India,1/3/2019,Banglore,New Delhi,BLR ? COK ? DEL,22:00,3/2/2019 23:20,25h 20m,1 stop,Change airports,14305,1520,1,Sunday,No
Air Asia,15/05/2019,Delhi,Cochin,DEL ? BLR ? COK,16:45,5/16/2019 7:10,14h 25m,1 stop,No info,6752,865,1,Monday,No
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,6/13/2019 9:20,16h 50m,1 stop,In-flight meal not included,8529,1010,1,Tuesday,No
IndiGo,27/03/2019,Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,non-stop,No info,4729,195,0,Wednesday,No
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,8:45,21:00,12h 15m,1 stop,No info,7670,735,1,Thursday,No
Jet Airways,3/5/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995,90,0,Friday,No
Jet Airways,1/5/2019,Banglore,Delhi,BLR ? DEL,8:20,11:20,3h,non-stop,No info,7229,180,0,Saturday,No
IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,7:10,10:05,2h 55m,non-stop,No info,4823,175,0,Sunday,No
Air Asia,27/03/2019,Kolkata,Banglore,CCU ? BLR,19:35,22:05,2h 30m,non-stop,No info,3782,150,0,Monday,No
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,5/22/2019 19:00,24h 45m,1 stop,In-flight meal not included,12898,1485,1,Tuesday,No
SpiceJet,24/05/2019,Kolkata,Banglore,CCU ? BLR,22:20,5/25/2019 0:40,2h 20m,non-stop,No check-in baggage included,3841,140,0,Wednesday,No
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:00,8h 25m,1 stop,No info,9627,505,1,Thursday,No
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,6/10/2019 12:00,14h 50m,1 stop,No info,14571,890,1,Friday,No
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? BLR,15:20,17:55,2h 35m,non-stop,No info,6985,155,0,Saturday,No
Jet Airways,21/06/2019,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,non-stop,No info,8040,85,0,Sunday,No
IndiGo,21/06/2019,Kolkata,Banglore,CCU ? BLR,22:15,6/22/2019 0:50,2h 35m,non-stop,No info,4804,155,0,Monday,No
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,4:55,19:00,14h 5m,1 stop,No info,10678,845,1,Tuesday,No
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:55,3/25/2019 18:10,25h 15m,1 stop,No info,14231,1515,1,Wednesday,No
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,6/13/2019 16:20,20h 20m,1 stop,In-flight meal not included,8529,1220,1,Thursday,No
Air India,24/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,19:15,8h 20m,2 stops,No info,11753,500,2,Friday,No
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,5/20/2019 4:25,29h 20m,2 stops,No info,16704,1760,2,Saturday,No
Jet Airways,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,6/7/2019 4:40,9h 45m,1 stop,No info,13374,585,1,Sunday,No
Air India,1/5/2019,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,non-stop,No info,3625,80,0,Monday,No
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,5/22/2019 19:00,27h,1 stop,No info,16079,1620,1,Tuesday,No
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,6/28/2019 12:35,15h 40m,1 stop,In-flight meal not included,10262,940,1,Wednesday,No
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,6:30,12:00,5h 30m,1 stop,In-flight meal not included,9663,330,1,Thursday,No
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:00,5/19/2019 1:30,7h 30m,1 stop,No info,9595,450,1,Friday,No
IndiGo,24/06/2019,Kolkata,Banglore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804,155,0,Saturday,No
Air India,9/6/2019,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,10:00,6/10/2019 5:25,19h 25m,2 stops,No info,12744,1165,2,Sunday,No
Air India,1/6/2019,Banglore,Delhi,BLR ? DEL,13:20,16:10,2h 50m,non-stop,No info,6961,170,0,Monday,No
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,5/7/2019 4:40,14h 35m,1 stop,In-flight meal not included,9663,875,1,Tuesday,No
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:15,8h 40m,1 stop,No info,7575,520,1,Wednesday,No
Air India,3/3/2019,Banglore,New Delhi,BLR ? BOM ? NAG ? DEL,19:10,3/7/2019 10:35,15h 25m,2 stops,No info,13355,925,2,Thursday,No
Air India,24/05/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,9:25,5/25/2019 13:45,28h 20m,2 stops,No info,12592,1700,2,Friday,No
Air India,1/6/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3625,90,0,Saturday,No
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,6/25/2019 4:25,13h 25m,1 stop,In-flight meal not included,10262,805,1,Sunday,No
Air India,21/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,5/22/2019 19:15,23h 30m,2 stops,No info,9443,1410,2,Monday,No
Air India,9/3/2019,Delhi,Cochin,DEL ? BOM ? COK,8:40,19:15,10h 35m,1 stop,No info,18959,635,1,Tuesday,No
IndiGo,3/3/2019,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,non-stop,No info,4784,85,0,Wednesday,No
Air India,1/4/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,4/2/2019 12:00,18h 30m,1 stop,No info,7893,1110,1,Thursday,No
Air India,27/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,6:50,6/28/2019 7:40,24h 50m,2 stops,No info,14431,1490,2,Friday,No
Jet Airways Business,1/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,5:45,11:25,5h 40m,1 stop,Business class,79512,340,1,Saturday,No
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210,90,0,Sunday,No
Multiple carriers,9/3/2019,Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,13677,900,1,Monday,No
Air India,27/05/2019,Delhi,Cochin,DEL ? MAA ? COK,6:05,5/28/2019 9:25,27h 20m,1 stop,No info,7480,1640,1,Tuesday,No
Air India,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,6/25/2019 7:40,12h 40m,1 stop,No info,8372,760,1,Wednesday,No
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,5:25,3/28/2019 4:25,23h,2 stops,No info,11664,1380,2,Thursday,No
Air India,18/06/2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,6961,165,0,Friday,No
Air India,24/04/2019,Banglore,Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,6121,165,0,Saturday,No
Air India,12/4/2019,Banglore,Delhi,BLR ? DEL,6:10,8:55,2h 45m,non-stop,No info,5911,165,0,Sunday,No
GoAir,6/5/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3398,170,0,Monday,No
Multiple carriers,9/6/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,6/10/2019 1:30,6h 30m,1 stop,No info,7530,390,1,Tuesday,No
GoAir,24/05/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3419,165,0,Wednesday,No
Vistara,24/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,3/25/2019 0:05,2h 55m,non-stop,No info,6558,175,0,Thursday,No
Air India,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,6/10/2019 20:25,23h 55m,1 stop,No info,10203,1435,1,Friday,No
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,3/13/2019 20:20,25h 25m,1 stop,In-flight meal not included,11087,1525,1,Saturday,No
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,20:30,23:20,2h 50m,non-stop,No info,5575,170,0,Sunday,No
Air Asia,24/04/2019,Delhi,Cochin,DEL ? BLR ? COK,7:55,22:25,14h 30m,1 stop,No info,6152,870,1,Monday,No
Jet Airways,9/5/2019,Kolkata,Banglore,CCU ? GAU ? BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608,435,1,Tuesday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,11:40,3/7/2019 10:25,22h 45m,1 stop,No info,17261,1365,1,Wednesday,No
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,9:40,5/10/2019 12:35,26h 55m,2 stops,No info,15129,1615,2,Thursday,No
GoAir,6/5/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3419,165,0,Friday,No
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:45,15:30,4h 45m,1 stop,No info,6218,285,1,Saturday,No
Jet Airways,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,2:15,12:35,10h 20m,1 stop,No info,14714,620,1,Sunday,No
Multiple carriers,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:15,7h 45m,1 stop,No info,14848,465,1,Monday,No
Jet Airways,12/5/2019,Kolkata,Banglore,CCU ? GAU ? BLR,10:20,17:35,7h 15m,1 stop,No info,9358,435,1,Tuesday,No
Air India,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,9:25,5/7/2019 7:55,22h 30m,1 stop,No info,8366,1350,1,Wednesday,No
Multiple carriers,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:15,7h 45m,1 stop,In-flight meal not included,15342,465,1,Thursday,No
Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM ? HYD,3:05,4:25,1h 20m,non-stop,No info,5678,80,0,Friday,No
IndiGo,6/5/2019,Kolkata,Banglore,CCU ? BLR,22:15,5/7/2019 0:50,2h 35m,non-stop,No info,4804,155,0,Saturday,No
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,16:20,7h 55m,1 stop,No info,14571,475,1,Sunday,No
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,20:45,12h 20m,1 stop,No info,12681,740,1,Monday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,3/7/2019 10:25,13h,1 stop,No info,17261,780,1,Tuesday,No
Vistara,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,6/10/2019 10:45,17h 45m,1 stop,No info,9922,1065,1,Wednesday,No
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,5/19/2019 12:00,17h 5m,1 stop,In-flight meal not included,10844,1025,1,Thursday,No
SpiceJet,21/04/2019,Banglore,Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No info,4423,160,0,Friday,No
IndiGo,24/05/2019,Banglore,Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,3419,165,0,Saturday,No
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,6/25/2019 4:25,5h 35m,1 stop,No info,14714,335,1,Sunday,No
Jet Airways,9/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,5:45,11:25,5h 40m,1 stop,In-flight meal not included,11087,340,1,Monday,No
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,6/28/2019 1:30,9h 30m,1 stop,No info,6316,570,1,Tuesday,No
SpiceJet,27/05/2019,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,non-stop,No check-in baggage included,3543,135,0,Wednesday,No
Jet Airways,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,6/7/2019 12:00,17h 5m,1 stop,No info,14571,1025,1,Thursday,No
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,18:00,8h 25m,1 stop,No info,14676,505,1,Friday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,3/7/2019 9:30,16h 35m,1 stop,No info,17261,995,1,Saturday,No
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,23:35,15h 10m,1 stop,No info,13941,910,1,Sunday,No
Air India,3/3/2019,Delhi,Cochin,DEL ? BLR ? COK,6:10,3/4/2019 8:15,26h 5m,1 stop,No info,13348,1565,1,Monday,No
Jet Airways,18/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016,175,0,Tuesday,No
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,12:35,5h 30m,1 stop,In-flight meal not included,12898,330,1,Wednesday,No
Jet Airways,9/4/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,7229,185,0,Thursday,No
SpiceJet,27/06/2019,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,non-stop,No info,2017,90,0,Friday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,8:00,19:10,11h 10m,1 stop,No info,16736,670,1,Saturday,No
SpiceJet,18/06/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,3873,150,0,Sunday,No
IndiGo,9/5/2019,Delhi,Cochin,DEL ? HYD ? COK,14:20,22:30,8h 10m,1 stop,No info,6704,490,1,Monday,No
Jet Airways,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,6/7/2019 19:50,24h 55m,1 stop,In-flight meal not included,10844,1495,1,Tuesday,No
Vistara,9/3/2019,Banglore,New Delhi,BLR ? DEL,19:40,22:20,2h 40m,non-stop,No info,7450,160,0,Wednesday,No
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,3/7/2019 5:05,12h 10m,1 stop,No info,16736,730,1,Thursday,No
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,6/16/2019 12:35,21h 35m,1 stop,In-flight meal not included,10262,1295,1,Friday,No
Air India,1/5/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,5:50,5/2/2019 16:15,34h 25m,2 stops,No info,10991,2065,2,Saturday,No
SpiceJet,6/6/2019,Banglore,Delhi,BLR ? DEL,21:10,6/7/2019 0:05,2h 55m,non-stop,No info,3311,175,0,Sunday,No
IndiGo,24/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,5/25/2019 1:30,14h 55m,1 stop,No info,7081,895,1,Monday,No
IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,21:15,4/28/2019 0:15,3h,non-stop,No info,3943,180,0,Tuesday,No
Air India,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,8372,375,1,Wednesday,No
Air India,9/3/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,3/10/2019 19:15,23h 30m,2 stops,No info,11701,1410,2,Thursday,No
Jet Airways,3/6/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5769,175,0,Friday,No
Multiple carriers,12/6/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,15:05,6/13/2019 1:30,10h 25m,2 stops,No info,15965,625,2,Saturday,No
SpiceJet,12/6/2019,Banglore,Delhi,BLR ? DEL,9:30,12:20,2h 50m,non-stop,No info,4423,170,0,Sunday,No
Jet Airways,15/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,9:45,14:25,4h 40m,1 stop,In-flight meal not included,6136,280,1,Monday,No
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,23:00,6h 5m,1 stop,In-flight meal not included,11087,365,1,Tuesday,No
IndiGo,3/6/2019,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,non-stop,No info,3540,145,0,Wednesday,No
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,5/22/2019 4:25,14h 25m,1 stop,In-flight meal not included,12898,865,1,Thursday,No
IndiGo,18/04/2019,Banglore,Delhi,BLR ? DEL,6:05,8:50,2h 45m,non-stop,No info,4591,165,0,Friday,No
Air India,24/03/2019,Delhi,Cochin,DEL ? BOM ? COK,4:00,3/25/2019 7:40,27h 40m,1 stop,No info,8635,1660,1,Saturday,No
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,19:00,10h,1 stop,No info,14714,600,1,Sunday,No
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,5/19/2019 19:10,22h 45m,1 stop,No info,14151,1365,1,Monday,No
Multiple carriers,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,4:55,19:15,14h 20m,1 stop,No info,8835,860,1,Tuesday,No
Air India,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,5/22/2019 8:55,15h 25m,1 stop,No info,11936,925,1,Wednesday,No
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,21:35,6/10/2019 12:35,15h,2 stops,No info,13882,900,2,Thursday,No
Air India,1/4/2019,Delhi,Cochin,DEL ? MAA ? COK,17:20,4/2/2019 9:25,16h 5m,1 stop,No info,5117,965,1,Friday,No
Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544,175,0,Saturday,No
IndiGo,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,6:50,22:30,15h 40m,1 stop,No info,6442,940,1,Sunday,No
Air India,9/5/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,5/10/2019 19:15,21h 15m,2 stops,No info,10441,1275,2,Monday,No
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,non-stop,No info,2227,95,0,Tuesday,No
Jet Airways,15/04/2019,Banglore,Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,No info,7229,165,0,Wednesday,No
Jet Airways,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262,360,1,Thursday,No
